Column1,Common Name,Botanical Name,Family,Plant Type,Mature Size,Sun Exposure,Soil Type,Soil pH,Bloom Time,Flower Color,Hardiness Zones,Native Area,Toxicity
460,"Horsetail, rough horsetail, scouring rush",Equisetum hyemale,Equisetaceae,Evergreen perennial,2-5 ft.,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,,,"4-9, USA","North America, Europe",Toxic to grazing animals
461,"Hosta, plantain lily",Hosta spp.,,Herbaceous perennial,,,,,,,,,Toxic to dogs and cats
462,"Hoya kerrii, sweetheart hoya, hoya hearts, lucky heart hoya, Valentine's hoya",Hoya kerrii,Apocynaceae,"Vine, succulent",13 ft. long,Full,Well-draining,"Acidic, neutral","Spring, summer","Pink, white","11, US",Asia,
463,"Hoya obovata, wax plant",Hoya obovata,,Epiphyte,,,,,"Spring, summer","Light pink, white",,,
464,"Hyacinth, common hyacinth, Dutch hyacinth, garden hyacinth",Hyacinthus orientalis,"Asparagaceae, formerly Hyacinthaceae","Perennial, bulb","6-12 in. tall, and 3-6 in. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic (6.0 to 7.0),Spring,"White, blue, purple, pink, red",4-8 (USDA),"Europe, Asia","Toxic to dogs, cats, and humans"
465,,Hydrangea spp.,Hydrangeaceae,Deciduous shrub,Up to 15 ft. depending upon variety,"Full, partial",Any,Any pH but it can influence bloom color,Mid-summer through fall,"Varies depending on species: white, blue, pink, maroon, red, purple, and pale green",5—9 (USDA),"Asia, the Americas",Toxic to humans and animals
466,Ice plant,"Delosperma spp., Lampranthus spp.",Aizoaceae,"Herbaceous, perennial","3-6 in. tall, 12-24 in. wide (depends on variety)",Full,"Dry, sandy, well-drained",Neutral,"Spring, summer, fall","Pink, red, purple, yellow, orange, bi-color and tri-color varieties","6-10, USA (depends on variety)",Africa,
467,"Arctic poppy, Iceland poppy",Papaver nudicaule,,Perennial,"1-2 ft. high, 1-2 ft. wide","Full, partial","Rich, well-drained",Neutral,Late spring to early summer,"Pink, red, orange, yellow, white",2-7 (USDA),"Subarctic regions of North America, Canada, Europe, and Asia",Toxic to humans and animals
468,"Impatiens, busy Lizzy",Impatiens spp.,Balsaminaceae,"Tender perennial, usually grown as an annual",6-36 in. tall; 1-3 ft. wide,Part shade to full shade,"Rich, well-draining soil",6.0-6.5 (slightly acidic),"Spring, summer","Pastels and vibrant colors including white, red, pink, violet, coral, purple, and yellow","10-11 (USDA, grown as an annual elsewhere)","Africa, Eurasia, New Guinea",
469,Incrediball smooth hydrangea,Hydrangea arborescens'Abetwo' Incrediball,Hydrangeaceae,Deciduous flowering shrub,4 to 5 ft. tall and wide,Full sun to part shade,"Moist, well-drained",Neutral to Acidic (5.0 to 7.0),Summer,White,"3-9, USA","Cultivar, no native range","Toxic to humans, toxic to dogs, toxic to cats"
470,"Wood grass, Indian grass",Sorghastrum nutans,Poaceae,Perennial,Up to 6 ft. tall,Full,"Sandy, loamy, clay, well-drained","Acidic, neutral, alkaline","Summer, fall","Yellow, orange","4, 5, 6, 7, 8, 9",North America,
471,Indian hawthorn,,,,4-6 ft. tall and wide,Full,"Moist, well-drained","Acidic, neutral, alkaline",Spring,"Pink, white",8-10 (USDA),Asia,
472,"Scarlet Painted Cup, Indian Paintbrush, Painted Cup",Castilleja coccinea,,Biennial,1 to 2 feet tall,Full sun,"Moist, well-draining",Acidic,Spring to early summer,"Red, red-orange, orange-yellow","4 to 8, USDA",North America,Toxic to humans and animals
473,Invincibelle Spirit hydrangea,Hydrangea arborescens NCHA1 Invincibelle Spirit,,"Broadleaf, deciduous, flowering shrub",Up to 4 feet tall and across; upright growth habit,Full sun to partial shade,"Fertile, loamy, well-drained, and kept evenly moist",Neutral to mildly acidic or mildly alkaline,Late June,Pink,3 to 9,North America,"Toxic to humans, dogs, cats, and horses"
474,Iris,Iris,,Perennial,6 in. to 4 ft. tall,Full sun,"Rich, moist, well-draining",Neutral to slightly acidic,"Late spring, early summer, and late summer","Varying shades of purple, blue, white, yellow","3 to 9, USA (depending on variety)","Europe, Asia, North America","Toxic to humans, toxic to pets"
475,"Irish Moss, Pearlwort",Sagina subulata,Caryophyllaceae,"Herbaceous, perennial",2 in. tall but spreads widely,"Full, partial","Sandy, loamy","Acidic, neutral, alkaline","Spring, summer",White,"4, 5, 6, 7, 8",Europe,
476,"Itoh peony, intersectional peony",Paeonia cvs.,Paeoniaceae,"Herbaceous, perennial","3 ft. tall, 4 ft. wide","Full, partial","Rich, well-drained",Slightly acid to neutral (6.0 to 7.0),Late summer,"Yellow, coral, pink, red, white",3a-8a (USDA),Nursery hybrid,Toxic to pets
477,Ivory silk lilac,Syringa reticulata ‘Ivory Silk’,,Tree or large shrub,"20-30 ft. tall, 15-20 ft. wide",Full sun,"Clays, sandy loams, well-draining",Neutral,Late June/July,White,USDA 3-7,Japan,
478,,x Fatshederalizei,,,,,,,,,,,
479,"Jacaranda tree, black poui, blue jacaranda",Jacaranda mimosifoila,Bignoniaceae,Flowering tree,"25-50 ft. tall, 15-30 ft. wide",Full,"Sandy, well-drained",Neutral to acidic,"Spring, summer","Purple, blue-purple",10 and 11 (USDA),South America,
480,,Artocarpus heterophyllus,,Tree,"30-70 ft. tall, 20-50 ft. wide",Full,"Loamy, moist, well-drained","Acidic, neutral, alkaline",Seasonal,Green,10-12 (USDA),Asia,
481,,Crassula spp.,Crassulaceae,Broadleaf perennial evergreen,Varies by species,"Full sun, partial shade",Moist but well-drained,Neutral to acidic,"Spring, summer",Varies by species,9-12 (USDA),South Africa,Toxic to dogs and cats
482,Jade plant,Crassula ovata,Crassulaceae,Succulent,"3-6 ft. tall, 2-3 ft. wide",Full sun,Well-drained,Neutral to acidic,Spring (rarely blooms indoors),White,11-12 (USDA),South Africa,Toxic to dogs and cats
483,Jalapeño,Capiscum annuum 'jalapeño',Solanaceae,"Perennial (commonly grown as annual), vegetable",,Full sun,"Loamy, moist, well-drained",Acidic to neutral (5.8 to 6.8),Summer,,11 (USDA),"Central America, South America","Toxic to people, toxic to pets"
484,"Japanese Andromeda,Japanese pieris, lily of the valley bush, fetterbush",Pieris japonica,Ericaceae,Shrub,"9-12 ft. tall, 6-8 ft. wide","Full, partial","Moist, well-drained",Acidic,Spring,White,,Asia,"Toxic to humans, dogs, cats, and horses"
485,,,,,,,,Neutral,,,,,
486,Japanese barberry,Berberis thunbergii,Berberidaceae,Shrub,"3-6 ft. tall, 4-7 ft. wide",Full,Well-drained,"Acidic, neutral",Spring,Yellow,4-8 (USDA),Japan,"Toxic to people, possibly toxic to pets"
487,Japanese blood grass; cogongrass,Imperata cylindrica,Poaceae,Perennial,1 - 2 ft.,Full,Moist but well-drained,"Acidic, alkaline (6.5-7.5)",,,"5, 6, 7, 8, 9",Asia,
488,"Japanese Camellia, Common Camellia",Camellia Japonica,Theaceae,"Shrub, Evergreen","7-12 ft. tall, 5-10 ft. wide",Partial,"Loamy, Clay, Sandy","Acidic, Neutral, Slightly Alkaline","Fall, Winter, Spring","White, Red, Pink, Lavender, or Variegated","7-9, USA","China, Korea, Japan",
489,Fern tree,Filicium decipiens,,Evergreen tree,"15-35 ft. tall, 15-25 ft. wide","Full sun, partial shade",Moist but well-drained,Neutral to acidic,Winter,White,10-12 (USDA),"Africa, Asia",
490,"Japanese flowering cherry, Kanzan cherry, Oriental cherry",Prunus serrulata cultivars,Rosaceae,Deciduous tree,"15-25 ft. tall , 13-26 ft. wide",Full,"Loamy, well-drained",Neutral (6.7 to 7.1),Spring,Pinkish red blooms,5-8 (USDA),"China, Korea, Japan","Seeds, leaves, branches toxic to humans and animals"
491,,Hakonechloa macraAureola,,Perennial ornamental grass,12 to 18 inches tall and 24 inches wide,Partial shade,Moist but well-drained,6.0 to 7.0; neutral to slightly acidic,July to August,Yellow-green,4 to 9,Woodland areas of central Japan,
492,,Ilex crenata,,Evergreen,"5-10 ft. tall, 5-8 ft. wide","Full, partial",Well-drained,Acidic,Spring,White,5-8 (USDA),Asia,Toxic to people and pets
493,,Lonicera japonica,Caprifoliaceae,Perennial flowering vine,"15 to 30 ft. long, 3 to 6 ft. spread",Full sun to part shade,Well-drained,"Neutral, acidic, or alkaline (5 to 8)",Late spring to fall,"White, maturing to yellow","5-8, USA","Eastern Asia including China, Japan, and Korea","Toxic to humans, toxic to pets"
494,"Japanese lilac tree, tree lilac",Syringa reticulata,,Tree,"20-30 ft. tall, 15-20 ft. wide","Full sun, partial sun","Well-drained, with average moisture and average fertility",Neutral to slightly acidic,June,Creamy white,3-7 (USDA),East Asia,
495,"Lily magnolia, Mulan magnolia",Magnolia liliflora,,Deciduous shrub,"8-12 ft. tall, 8-12 ft. wide","Full sun, partial shade",Moist but well-drained,Acidic,Spring,"Pink, purple",5-8 (USDA),Asia,
496,Japanese maple bonsai,Acer palmatum,Aceraceae,Deciduous tree,60-80 in. tall,Partial sun,"Well-draining, bonsai soil mix",Acidic (5.5 to 6.5),,,,Japan,
497,Japanese pagoda tree,Styphnolobium japonicum,,,"50 - 75 ft. tall, 50 - 75 ft. wide",Full sun,Well-drained sandy loams,Adaptable,July,Creamy white,4-8 (USA),,Pea pods are toxic to people
498,Japanese painted fern,Athyrium niponicum,Athyrium,Perennial,About 18 in. tall and wide,"Partial, shade",Moist but well-drained,"Neutral, acidic, alkaline",,,"3, 4, 5, 6, 7, 8",Asia,
499,"Japanese pieris, Japanese andromeda, lily-of-the-valley shrub",Pieris japonica (Andromeda japonica),Ericaceae,Broadleaf evergreen shrub,"9-12 ft. tall, 6-8 ft. wide","Full, partial",Moist but well-drained,Acidic (5.1 to 6.0); may tolerate neutral soils,"Late winter, early spring","White, pink",5-8 (USDA),"Eastern Asia (Japan, Taiwan, east China)","Toxic to humans, pets"
500,,Kerria japonica,Rosaceae,"Flower, shrub","5-10 ft. tall, 6-10 ft. wide",Partial to full shade,"Moist but well-drained soil, loamy","Acidic, neutral, alkaline",Spring,Yellow,"4, 5, 6, 7, 8, 9",Asia,
501,"Japanese sedge, evergold carex, Kan suge, Morrow's sedge",Carex morrowii,Cyperaceae,Perennial,"12-18 in. tall, 18-24 in. wide","Partial shade, full shade",Moist but well-drained,Neutral to acidic,"Spring, summer",Brown,5-9 (USDA),Asia,
502,"Chinese silver grass, Japanese silver grass, eulalia grass",Miscanthus sinensis,Poaceae,"Herbaceous, perennial","3-10 ft. tall, 3-6 ft. wide (varies by cultivar)","Full, partial",Moist but well-drained,Acidic to neutral (5.5 to 7.5),"Late summer, fall, winter",Reddish silver,5-9 (USDA),Asia,
503,Japanese skimmia,Skimmia japonica,,Shrub,3 to 4 feet tall,"Part shade, shade","Moist, well-draining",5.6 to 6,Spring,"Yellow, white",6 to 8,"Japan, China, South-East Asia",Toxic in large quantities 
504,Japanese stewartia,Stewartia pseudocamellia,,Deciduous tree,"12-40 ft. tall, 8-25 ft. wide","Full sun, part shade","Moderately fertile, moist, well-drained",Neutral to acidic (4.5 to 6.5),"Late summer, fall","White flowers; red, orange, burgundy leaves",5-8 (USDA),Japan,
505,Japanese Wisteria,Wisteria Floribunda,,,"4 to 8 ft. wide, 10 to 25 ft. tal.",Full sun,Average soilwith good drainage,Acidic,May,"Blue to Violet, Pink, White",9-Apr,,Toxic to humans and pets
506,Japanese zelkova,Zelkovaserrata,,Tree,50-80 ft. tall.,Full Sun,"Average, Good Drainage",Prefers Neutral Soil,Spring,Insignificant,,East Asia,
507,Jeffrey (Jeffrey's) pine,Pinus jeffreyi,Pinaceae,Coniferous tree,"80-140 ft. tall, 25-35 ft. wide","Full, partial","Loamy, sandy",Strongly acidic to neutral (5.2-7.0),Summer,,5-9 (USDA),"Western North America (California, Oregon, Nevada)",
508,"Jelly bean succulent, jelly bean plant, pork and beans, Christmas cheer, banana cactus",Sedum rubrotinctum,,Succulent,6 to 12 inches tall,Full sun,"Sandy, well-drained","Neutral, alkaline","Spring, summer",Yellow,"9-11, USA",Mexico,Toxic to pets and humans
509,"Jewel aloe, jeweled aloe, golden tooth aloe",Aloe distans,Asphodelaceae,Succulent,"5 in. tall, up to 5 ft. spread","Full, partial","Loamy, sandy, well-drained","Acid, neutral, alkaline",Summer,"Yellow, orange, red",9-11 (USDA),South Africa,
510,"Joe Pye weed, purple Joe Pye weed, spotted Joe Pye weed",Eutrochium spp.,Asteraceae,"Herbaceous, perennial","5-7 ft. tall, 2-4 ft. wide","Full, partial","Moist, well-drained","Acidic, neutral, alkaline (5.0 to 8.0)",Summer,"Mauve pink, purple-pink",4-9 (USDA),North America,
511,"Johnny Jump Ups, Heart’s Ease, field pansy, wild pansy, horned pansy, California golden violet, yellow pansy",Viola tricolor,,"Perennial, annual","6 - 8 in. tall, 6 - 8 in. wide","Full, partial",Moist but well-drained,"Acidic, neutral","Spring, fall","Yellow, purple, blue, white, orange","3 to 8, USA","Europe, North America",
512,"Joshua Tree, Yucca Palm, Tree Yucca, Palm Tree Yucca",Yucca brevifolia,Asparagaceae,"Woody Perennial, Evergreen, Tree-like",15-30 ft. tall,Full Sun,"Sandy, Loamy, Well-Drained","Acidic, Neutral, Alkaline",Spring,White-green,"6-10, USA",Southwestern USA,
513,Joyweed,Alternanthera ficoidia,,Perennial,"6-12 in. tall, 1-3 ft. wide",Full,"Moist, well-draining",Slightly acidic to neutral,Fall,White,10 to 11 (USA),South and Central America,
514,Julia Child roses,Rosa ‘Julia Child’,,Perennial,"2-3 ft. tall, 2-3 ft. wide","Full, partial","Loamy, sandy, moist but well-drained",Acidic,"Spring, Summer, Fall",Yellow,"6-9, USA",North America,
515,Juniper Bonsai,Juniperus,Cupressaceae,Evergreen conifer,"3-6 ft. tall, 1-3 ft. wide (or as desired)",Full sun,"Well-draining, bonsai soil",Neutral to acidic,,,"Varies by species, 3-11, USDA","Europe, Asia, North America",
516,"Spur valerian, red valerian, Jupiter's beard",Centranthus ruber,,Herbaceous perennial,Up to 3 ft.,Full sun/partial shade,Tolerant of a variety of well-drained soil types,Preference for alkaline,Summer to early fall,"Commonly crimson red, but also pale pink and white",5-8 (USDA),Mediterranean region,
517,"Kalanchoe, flaming Katy, Christmas kalanchoe",Kalanchoe blossfeldiana,Crassulaceae,"Perennial, succulent",6-18 in. tall and wide,"Full sun, partial shade",,Acidic (5.8 to 6.3),Varies; requires 6 weeks of 14-hour nights,"Yellow, red, orange, pink, white","10-12, USDA",Africa (Madagascar),"Toxic to pets, considered non-toxic to humans"
518,"Kale, ornamental kale",Brassica oleracea,Brassicaceae,"Annual/biennial, vegetable",1-2 ft. tall and wide,"Full sun, partial sun","Loamy, moist, well-drained",Acidic (6.5 to 6.8),Spring,,7-9 (USDA),Europe,
519,"Kangaroo paw, cat's paw",Anigozanthos spp.,Haemodoraceae,Herbaceous perennial,"2- 10 ft. tall, 1-2 ft. wide",Full sun,"Sandy, moist, well-drained",Slightly acidic (5.8 to 6.5),Late spring to fall,"Red, orange, yellow, pink, purple, white","10-11, USA",Australia,
520,"Katsura tree, Japanese Katsura",Cercidiphyllum japonicum,Cercidiphyllaceae,Tree,"40 to 60 ft. tall, 25 to 60 ft. wide","Full, partial",Well-drained,Neutral to slightlyacidic,Spring,"Red, green",4 to 8,Asia,
521,Kentia palm,Howea forsteriana,,Tropicals,"3-12 ft. tall (indoors), 2-4 ft. wide (indoors)","Partial shade, shade","Sandy, well-drained",Acidic,Winter,White,9-11 (USDA),South Pacific,
522,Kentucky coffee tree,Gymnocladus dioicus, Fabaceae,Perennial deciduous tree,"65-75 ' tall, 40-50' spread",Full sun,"Tolerant of clay, likes loam","Acidic, alkaline or neutral",Late spring,Greenish white,"3-8, USA","Central US, Nebraska to Pennsylvania",Seeds are toxic to people
523,,Adromischus cristatus,,Succulent,"6 in. tall, 3 in. wide","Full, partial","Sandy, well-drained",Acidic,Spring,Reddish white,9-10 (USDA),South Africa,Toxic to people and animals
524,,Brassica oleracea,,Herbaceousbiennial,"18 inches tall, 18 to 24 inches wide",Full sun,"Rich, moist loam",Slightly acidic (5.5 to 6.9),Summer,Pale yellow,2 to 11 (USDA),Northern Europe,
525,"Korean fir, kusang namu",Abies koreana,Pinaceae,Evergreen tree (conifer),"15-30 ft. tall, 6-12 ft. wide","Full, partial","Rich, moist, well-drained",,None,None,5-7 (USDA),Asia,
526,,Acer pseudosieboldianum,,Deciduous tree/shrub,Up to 25 ft. tall,"Full, partial","Rich, well-drained",Any,Spring,Purple,4-8 (USDA),"Korea, China",
527,,Pyrus pyrifolia,,"Fruit, tree",,,,,,,,,
528,Korean spicebush,Viburnum carlesii,,Deciduous flowering shrub,6 feet tall and wide,Full sun to part shade,"Moist, well-drained",5.6 to 6.6 (acidic to neutral),Spring,White,4 to 7 (USDA),"Korea, Japan",
529,Kousa Dogwood,Cornuskousa,,,15-30 ft. tall and wide.,Full to Part Shade,"Rich, well-drained soil",Slightly Acidic,May to June,"White, Pink and Red",USDA 5-8,,
530,"Kudzu, East Asian arrowroot",Pueraria montana var. lobata,,Perennial,Up to 100 feet length,"Full sun, partial shade","Sandy, well-drained",Neutral to acidic,Summer,Purple,5-10 (USDA),Asia,
531,Kumquat,Citrus japonica,Rutaceae,"Fruit, tree, perennial",,Full sun,"Loamy, moist, well-drained","Acidic, neutral (6.0 to 7.0)","Spring, summer",,9-11 (USDA),Asia,
532,"Lacebark pine, white-barked pine, Bunge's pine",Pinus bungeana,,Evergreen tree,"30-50 ft. tall, 20-35 ft. wide",Full,"Moist, well-drained","Neutral to acidic, acidic, alkaline",Summer,Inconspicuous,"4, 5, 6, 7, 8 (USDA)",China,
533,Lady fern,Athyrium filix-femina,,Perennial,"2 to 3 ft. tall, 18 to 24 in. wide",Shade to partial sun,"Moist, rich, sandy, well-draining",Slightly acidic,Not applicable,Not applicable,"3 to 6, USA",North America,
534,"Lady's mantle, bear's foot",Alchemilla mollis,Rosaceae,Herbaceous perennial,12-18 in. tall and wide,"Full sun, partial shade","Medium moisture, well-drained",Acidic to neutral (5.5 to 7.5),June to September,Yellow-green,3b-8b (USDA),Southern Europe,
535,"Ladybells, Lady bells, false campanula",,,Herbaceous perennial,Up to 3 feet,Partial to full sun,Tolerant but prefers well-drained,Tolerates all,Early summer,Pale violet blue,USDA 3 to 7,,
536,Lamb's ear,Stachys byzantina,Lamiaceae,Herbaceous perennial,"9-18 in. tall, 12-18 in. spread","Full, partial",Well-drained,"Acidic, alkaline, neutral","Spring, summer","Purple, pink",4-8 (USDA),Middle East,
537,"Lamb's ears, Wooly Betony",Stachys byzantina,Lamiaceae,Herbaceous perennial,"12-18 in. tall, up to 12 in. wide",Full to partial,"Well-draining, evenly moist to dry soil",Slightly acidic (6.0-6.5),Summer,Light purple,4a-9a (USDA),Middle East,
538,,Lantana camara,Verbenaceae,Perennial in zones 9-11; otherwise annual,6 ft. high and wide (as a perennial),Full sun,Well-drained,Neutral (6.0-8.0),Year-round in frost-free climates,"Mix of red, orange, yellow, blue, white, pink",7a-11a (USDA),"Tropical Americas, West Indies, Mexico",Toxic to pets
539,Larch,Larix spp.,Pinaceae,Deciduous tree,"40-100 ft. tall, 20-30 ft. wide",,Moist but well-draining,Acidic to neutral (5.0 to 7.4),Spring,Pinkish to green cones,2-7 (USDA); depends on species,Northern hemisphere,
540,"'Black Knight' delphinium, candle larkspur",Delphinium elatum 'Black Knight',,Herbaceous perennial,"4-6 ft. tall, 1-2 ft. wide",Full,"Moist, well-drained, fertile",Neutral to alkaline (7.0 to 8.5),"Summer, fall",Dark purple,3-7 (USDA),,
541,"Bay laurel, laurel, laurel tree, bay tree,",Laurus nobilis,Lauraceae,Broadleaf evergreen shrub or tree,"10-60 ft. tall, 5-20 ft. wide; container plants generally kept pruned to 4-6 ft.","Full, partial","Average, moist, well-drained garden soil; general potting mix for potted plants",Acidic to alkaline (4.5-8.3),Late spring to early summer,Pale yellow,8-10 (USDA),Mediterranean,"Toxic to dogs, cats, horses"
542,Lavender,Lavandula spp.,Lamiaceae,Herbaceous perennial,"2-3 ft. tall, 2-4 ft. wide",Full sun,"Dry, well-draining",Alkaline,Summer,Purple,"5a-9a, USDA",Europe,"Toxic to dogs, toxic to cats"
543,Leek,Allium ampeloprasum,,Herbaceous perennial,"1-3 ft. tall, 6-12 in. wide",Full sun,"Sandy, well-drained",Neutral to acidic,Spring,White,5-10 (USDA),"Europe, Africa",
544,,,,,,,,Neutral to acidic,,,,,
545,"Lemon button fern, button sword fern, erect sword fern, little-leaved sword fern, fishbone fern.",Nephrolepis cordifolia 'Duffii',Nephrolepidaceae,Rhizomes,"12 in. tall, 12 in. wide","Partial, shade","Loamy, moist but well-draining",Acidic,,,"8a, 8b, 9a, 9b, 10a, 10b",Asia,
546,Lemon cucumber,Cucumis sativus 'Lemon',Cucurbitaceae,Climbing vegetable vine,6 to 8 foot vines,Full sun,"Rich, well-drained",Mildly acidic to neutral,Midsummer to late summer and early fall,Bright yellow,"2-10, USDA (annual)",India,
547,"Lemon Cypress, Goldcrest Monterey cypress",Cupressus macrocarpa'Goldcrest',,Coniferous Tree,10ft. tall 2-3 ft. spread,Full Son,"Poor, Good Drainage",Prefers Neutral Soil,Spring,Insignificant,,California,
548,Lemon tree,Citrus limon (Rutaceae)​,,Broadleaf evergreen,20 feet tall and 15 feet wide,Full sun,Well-drained fertile soil,Slightly acidic and low in soluble salts,Spring,White,8-11 (USDA),Asia,Toxic to dogs and cats
549,"Lemon verbena, lemon beebrush, vervain",Aloysia citriodora,Verbenaceae,Tender perennial in frost-free zones,6 ft. where hardy,Full sun,Rich and moist,Slightly acidic (6.1 to 7.0),Late summer,,8-11 (USDA),"Argentina, Chile","Toxic to cats, dogs, and horses"
550,Lemongrass,Cymbopogon citratus,Poaceae,Ornamental grass,2-4 ft.,Full sun,Rich and loamy,Neutral (6.8-7.2),No flowers,None,10-11 (USDA),"Sri Lanka, India",Toxic to pets
551,Lenten rose,Helleborusxhybridus,Ranunculaceae,"Evergreen, perennial",12 to 18 inches tall and wide,Partial,"Moist, well-drained, loamy",Slightly acidic to alkaline (6.5-8),Late winter to early spring,White to pink to light rose-purple,4-9 (USDA),Europe,Toxic to humans and animals
552,,​Lens culinaris,,Annual crop,12 to 20 inches tall (18 to 24 inches between rows),Full sun,"Well-drained, fertile, sandy loam",6.0-6.5 (up to 8.0),Spring,"White, pale blue, light purple","5-11, USDA","Egypt, Greece, and Rome",
553,"Lettuce, garden lettuce",Lactuca sativa,Asteraceae,"Annual, vegetable",,"Full sun, partial sun","Loamy, rich, well-drained","Acidic, neutral (6 to 7)",Seasonal,,2a-11b (USDA),Mediterranean ,
554,Leyland Cypress,×Cuprocyparisleylandii,,Coniferous evergreen tree,60 to 70 feet; 10- to 15-foot spread,,"Fertile, moist, well-drained soil",5.0 to 8.0 (acidic to slightly alkaline),Non-flowering,Non-flowering,,Cultivated hybrid; parents are North American natives,Toxic to pets
555,"Blazing star, liatris, dense blazing star, gay feather",Liatrisspicata,Asteraceae,Herbaceous perennial,"2-4 ft. tall, 9-18 inches wide",Full,"Medium-moisture, well-drained",Acidic to neutral (5.5 to 7.5),Summer to early fall,"Purple, reddish-purple, white",3-9 (USDA),Eastern North America,
556,"Hickory wattle, fish wattle",Acacia implexa,,Tree,20-50 ft. tall,Full sun,"Sandy, clay",Neutral to acidic (5.0 to 7.0),Summer,Cream to pale yellow,"6 to 9, USA",Eastern Australia,
557,"Lilac bush, common lilac",Syringa vulgaris,Oleaceae,Shrub,"8-15 ft. tall, 6-12 ft. wide",Full,"Loamy, well-drained",Neutral,Spring,,"3-7, USA",Europe,
558,"Lima bean, butter bean, chad bean, wax bean",Phaseolus lunatus,Fabaceae,"Annual, fruit",,Full sun,"Loamy, moist, well-drained","Acidic, neutral (6 to 6.8)",Summer,,2-11 (USDA),"North America, Central America, South America","Toxic to people, toxic to pets"
559,"Lipstick palm, red sealing wax palm, rajah wax palm",Cyrtostachys renda,,"Tree, cycad","25 to 35 ft. tall, 12 to 20 ft. wide",Full to partial sun,"Loamy, moist but well-drained",Acidic to neutral,Summer,Green,Zone 11,"Malay peninsula, Borneo, Sumatra",
560,"Lipstick plant, lipstick vine, basket vine",Aeschynanthus Radicans,,Vine,3 ft. tall,Partial shade,Well-drained,"Neutral, alkaline","Spring, summer, fall",Red,"10 - 11, USA",Asia,
561,"Liriope, lilygrass, big blue turflily (L. Muscari); creeping liriope, monkey grass (L. Spicata)",Liriope SpicataorL. Muscari,Asparagaceae,Herbaceous perennial,"9-18 in. tall, 12-24 in. spread","Full, partial","Well-draining, sandy",Acidic (6.0 to 7.0),August to September,"Lavender, white",4-10 (USDA),East and Southeast Asia,
562,Lisbon lemon tree,Citrus x limon 'Lisbon',,Evergreen tree,Up to 15 ft. tall,Full sun,Well-drained,"Tolerant of a variety, particularly acidic types",Spring,White,9-11 (USDA),Australia with Portugese descent,Toxic to dogs and cats
563,"Lisianthus, prairie gentian, bluebell gentian",Eustoma russellianum (prev. Eustoma grandiflorum),Gentianaceae,"Herbaceous perennial, usually grown as an annual","1-3 ft. tall, 6-12 in. wide",Full sun,"Moist, well-drained soil",Neutral (6.5—7.0),"Summer, fall","Purple, pink, white","8-10 (USDA), borderline in zone 7",Central North America,
564,,,,,,,,,,,,,
565,,,,,,,,,,,,,
566,"Little leaf linden, small-leaved lime",Tilia cordata,,Deciduous tree,50 to 80 feet tall and 20 to 50 feet wide,Full sun to part sun,"Well-drained rich soil, adaptable to clay","Acidic, alkaline, neutral",,Lime-Yellow,"4, 5, 6, 7",Western Asia and Europe,
567,,,,,,,,,,,,,
568,"The cultivar is called ""Lombardy poplar,"" the species plant ""black poplar""",Populus nigra'Italica',,"Broadleaf,deciduous tree",40 to 50 ft. tall and 10 to 15 ft. wide for the 'Italica' cultivar; species plant can become much bigger,Full,Sandy to loamy soil,Neutral,Spring,Red,3 to 9 (USDA),Lombardy region of Northern Italy,
569,,Pinus palustris,Pine,Evergreen tree,80 to 100 feet,Full sun,Prefers well-drained soil but has some clay tolerance,Acidic to neutral,,,7 to 9,Southeastern U.S.,
570,"Luffa, loofah, loofa, sponge gourd, gourd luffa, luffa sponge, smooth luffa, dishrag gourd, Egyptian luffa","Luffaaegyptiaca, Luffa cylindrica",Cucurbitaceae,Annual,"2-3 ft. height, 8-12 ft. spread",Full sun,Well-drained,Slightly acidic (6.0 to 6.5),Summer,Pale gold or yellow,7-13 (USDA),Indian subcontinent,
571,"Loquat tree, Japanese plum, medlar, misbelief",Eriobotrya japonica,,,"10-25 ft. tall, 10-25 ft. wide","Full, partial","Loamy, well-drained","Acidic, neutral, alkaline","Late fall, early winter","White, blush",8-10 (USDA),,Fruit: no; seed: yes
572,"Water lily, Lotus",Nymphaea(Water lily);Nelumbo (Lotus),,Herbaceous perennial,Water lily: 3 to 6 inches tall and 4 to 8 feet wide; Lotus: 3 to 6 feet tall and 3 to 4 feet wide,Full sun,Top soil,Neutral,Summer,"Water lily: blue, purple, yellow, red, white, pink, orange;Lotus: white, pink, yellow",4 to 10 (for hardy varieties),"Asia, Australia, North America",
573,"Love-Lies-Bleeding, Lovelies bleeding, Tassel flower, Foxtail amaranthor love-lies-bleeding","Amaranthus caudatus(synonyms: Amaranthus edulis, Amaranthus leucocarpus, Amaranthus mantegazzianus)",,Annual,"2 to 5 ft. tall, 1 to 2 ft. wide",Full sun to part shade,"Moist, average, well-drained, or poor","Acidic, neutral",July to frost,Red,"2 to 11, USDA",American tropics (suspected),
574,"Lucky bamboo, friendship bamboo, ribbon plant",Dracaena sanderiana,Asparagaceae,Perennial shrub,"1-3 ft. tall, 1-2 ft. wide (indoors)",Partial shade,Water or moist but well-drained soil,Acidic,"Fall, winter (does not bloom indoors)",White,"10-11 (USDA), but typically used indoors",Africa,Toxic to animals
